13:40:936 | DEBUG | connect:request:1001 | Request URL: https://cad.onshape.com/api/parts/d/e20bf4145bc31cbbbdf75b5a/m/d6fe2a57744699262866663c/e/9ea18489ebac20de847f753e/partid/JFX/massproperties?useMassPropertiesOverrides=True
13:40:936 | DEBUG | connect:request:1001 | Request URL: https://cad.onshape.com/api/parts/d/e20bf4145bc31cbbbdf75b5a/m/d6fe2a57744699262866663c/e/9ea18489ebac20de847f753e/partid/JFT/massproperties?useMassPropertiesOverrides=True
13:40:936 | DEBUG | connect:request:1000 | Request headers: {'Content-Type': 'application/json', 'Date': 'Mon, 29 Dec 2025 18:40:44 GMT', 'On-Nonce': '26dJxE4Tmqf7zeclje0WbC2MI', 'Authorization': 'On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:FPvdmhUZQI+RzI4UvJCf+yT8vgxvil7FYVnP9m8B9tI=', 'User-Agent': 'Onshape Python Sample App', 'Accept': 'application/json'}
13:40:937 | DEBUG | connect:request:1001 | Request URL: https://cad.onshape.com/api/parts/d/e20bf4145bc31cbbbdf75b5a/m/d6fe2a57744699262866663c/e/9ea18489ebac20de847f753e/partid/JFP/massproperties?useMassPropertiesOverrides=True
13:40:937 | DEBUG | connect:request:1001 | Request URL: https://cad.onshape.com/api/parts/d/e20bf4145bc31cbbbdf75b5a/m/d6fe2a57744699262866663c/e/9ea18489ebac20de847f753e/partid/JFb/massproperties?useMassPropertiesOverrides=True
13:40:937 | DEBUG | parse:_fetch_mass_properties:1318 | Fetching mass properties for part: gripper_v14recovered_1_MGN7C_v1_11
13:40:938 | DEBUG | connect:_make_auth:1146 | query: useMassPropertiesOverrides=True, hmac_str: b'get\nchuck008jrksp6cadzwssteon\nmon, 29 dec 2025 18:40:44 gmt\napplication/json\n/api/parts/d/4a7b87d8f7abcaa11d2589a0/m/b51b1eba23ed964f4c080d60/e/d4dca888efba0110936929bd/partid/jfd/massproperties\nusemasspropertiesoverrides=true\n', signature: b'JRrcYY6NJ7OMX1WHWi7luTT+AVc4LPKoarEhqiLe5AE=', auth: On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:JRrcYY6NJ7OMX1WHWi7luTT+AVc4LPKoarEhqiLe5AE=
13:40:938 | DEBUG | connect:make_nonce:124 | nonce created: djgKmSSOOGGZrtVppVa9WZrZC
13:40:938 | DEBUG | connect:request:999 | Request body: None
13:40:939 | DEBUG | connect:request:1001 | Request URL: https://cad.onshape.com/api/parts/d/e20bf4145bc31cbbbdf75b5a/m/d6fe2a57744699262866663c/e/9ea18489ebac20de847f753e/partid/JFf/massproperties?useMassPropertiesOverrides=True
13:40:941 | DEBUG | connect:request:999 | Request body: None
13:40:941 | DEBUG | parse:_fetch_mass_properties:1318 | Fetching mass properties for part: gripper_v14recovered_1_MGN7C_v1_3
13:40:941 | DEBUG | connect:_make_auth:1146 | query: useMassPropertiesOverrides=True, hmac_str: b'get\ndjgkmssooggzrtvppva9wzrzc\nmon, 29 dec 2025 18:40:44 gmt\napplication/json\n/api/parts/d/4a7b87d8f7abcaa11d2589a0/m/b51b1eba23ed964f4c080d60/e/d4dca888efba0110936929bd/partid/jfh/massproperties\nusemasspropertiesoverrides=true\n', signature: b'LkrWpDa1cpmFlBvhGgndnUnWJrlHxhlo2UeG3HZSUes=', auth: On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:LkrWpDa1cpmFlBvhGgndnUnWJrlHxhlo2UeG3HZSUes=
13:40:941 | DEBUG | connect:make_nonce:124 | nonce created: L9Qyhp2HeN9u8D93YsMNImDlQ
13:40:941 | DEBUG | connect:request:1000 | Request headers: {'Content-Type': 'application/json', 'Date': 'Mon, 29 Dec 2025 18:40:44 GMT', 'On-Nonce': 'JYEEfmQLCp0h8sBF1sB7CSXwW', 'Authorization': 'On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:QJIButZhu4J/ZVPbDLDS42LGAWk+aV/5rmlNJjdSQZY=', 'User-Agent': 'Onshape Python Sample App', 'Accept': 'application/json'}
13:40:942 | DEBUG | connect:request:1000 | Request headers: {'Content-Type': 'application/json', 'Date': 'Mon, 29 Dec 2025 18:40:44 GMT', 'On-Nonce': 'cHUCK008Jrksp6cADZwssTEOn', 'Authorization': 'On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:JRrcYY6NJ7OMX1WHWi7luTT+AVc4LPKoarEhqiLe5AE=', 'User-Agent': 'Onshape Python Sample App', 'Accept': 'application/json'}
13:40:942 | DEBUG | connect:request:999 | Request body: None
13:40:942 | DEBUG | parse:_fetch_mass_properties:1318 | Fetching mass properties for part: gripper_v14recovered_1_MGN7C_v1_12
